Job Title,Job ID,City,State,Country,Category,Apply Link
Servicenow Tech Lead,76513,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Servicenow-Tech-Lead/76513-en_US
Technical Lead - L1,80572,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/80572-en_US
Administrator - L3,80867,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Administrator-L3/80867-en_US
Techno Functional Consultant - L2,80929,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Techno-Functional-Consultant-L2/80929-en_US
Administrator - L3,82898,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Administrator-L3/82898-en_US
DevOps Engineer - L3,82920,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/DevOps-Engineer-L3/82920-en_US
Technical Lead - L1,83088,Pune,Maharashtra,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/83088-en_US
Developer - L4,85027,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Developer-L4/85027-en_US
Lead Administrator - L2,77331,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L2/77331-en_US
Lead Administrator - L1,77362,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/77362-en_US
Sr Technical Developer,77814,Pune,Maharashtra,India,Digital Experience,https://careers.wipro.com/job/Sr-Technical-Developer/77814-en_US
Anaplan Model Builder,77862,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Anaplan-Model-Builder/77862-en_US
Java GraphQL Lead,77928,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Java-GraphQL-Lead/77928-en_US
Principal Consultant - Adv. & Mgmt - L1,77962,Bengaluru,Karnataka,India,Consulting,https://careers.wipro.com/job/Principal-Consultant-Adv_-&amp;-Mgmt-L1/77962-en_US
Security Architect - L1,78606,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Security-Architect-L1/78606-en_US
